PWSID,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population, Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies
CA4900675,ROSELAND MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,70,130,MOBILE HOME PARK              ,0,0,0.67,0,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA4900679,FORT ROSS SCHOOL DISTRICT,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,2,100,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900680,HORICON SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,4,100,SCHOOL                        ,0,1.33,0.67,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900693,BELLEVUE UNION SCH DIST-BELLEVUE SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,2,380,SCHOOL                        ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900694,WRIGHT ELEMENTARY SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,11,500,SCHOOL                        ,0.25,1.33,0.67,0,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900695,NORTHWEST PREP CHARTER SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,1,325,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900699,OLIVET ELEMENTARY SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,6,400,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900703,OAK GROVE SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,7,500,SCHOOL                        ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4900704,ALEXANDER VALLEY UNION SCHOOL DISTRICT,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,5,200,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900705,GEYSERVILLE NEWTECH ACADEMY SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,2,200,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900707,TWIN HILLS SCHOOL DIST-TWIN HILLS SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,2,400,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900708,GRAVENSTEIN SCHOOL DISTRICT-GRAVENSTEIN,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,7,398,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900710,TWIN HILLS SCHOOL DIST-APPLE BLOSSOM SCH,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,1,400,SCHOOL                        ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900711,GRAVENSTEIN SCHOOL DISTRICT-HILLCREST,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,1,289,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900714,LIBERTY SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,3,225,SCHOOL                        ,1.5,1.33,0,0,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA4900716,CINNABAR ELEMENTARY SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,2,228,SCHOOL                        ,0.5,1.33,0.33,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900719,WEST SIDE UNION SCHOOL DISTRICT,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,5,175,SCHOOL                        ,0,1.5,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900720,MOBILE HOME ESTATES,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,150,210,MOBILE HOME PARK              ,0.5,1.5,0,1.33,0.83,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA4900721,COLONIAL PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,194,342,MOBILE HOME PARK              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4900723,SHAMROCK MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,127,188,MOBILE HOME PARK              ,1.5,2,0,1,1.13,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA4900728,EVERGREEN MOBILE ESTATES,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,23,75,MOBILE HOME PARK              ,0,1.33,0,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900736,CLEAR CREEK WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,19,40,RESIDENTIAL AREA              ,0,1.5,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900739,DUNHAM SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,3,175,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900748,CASINI RANCH CAMPGROUND,SONOMA,DISTRICT 25 - MARIN,COMMUNITY,12,450,RECREATION AREA               ,0,0.33,0.33,0.33,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA4900785,NOEL HEIGHTS-CAL WATER SERVICE (PUC),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,47,81,RESIDENTIAL AREA              ,0.25,1.33,0.33,0,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900787,PLAZA MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,71,125,MOBILE HOME PARK              ,0,0.33,0.67,1,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4900789,BLUE SPRUCE MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,56,90,MOBILE HOME PARK              ,0,1.5,0.67,0.67,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA4900791,WESTERN MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,73,225,MOBILE HOME PARK              ,1.88,0.33,0.67,1,0.97,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA4900793,VINEHILL VISTAS MUTUAL WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,29,43,RESIDENTIAL AREA              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4900794,SUNSET PARK COMMUNITY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,56,141,MOBILE HOME PARK              ,0.25,1.33,0.67,0.67,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA4900795,STONEGATE MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,70,196,MOBILE HOME PARK              ,3.5,2,0.33,0.17,1.5,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA4900796,SANTA ROSA MOBILE ESTATES,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,141,420,MOBILE HOME PARK              ,2,0.33,0.67,0.67,0.92,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0
CA4900797,NORTH STAR MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,79,221,MOBILE HOME PARK              ,0.75,1.33,0.67,0,0.69,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA4900798,"MOUNTAIN VIEW MOBILE ESTATES, LLC",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,111,250,MOBILE HOME PARK              ,1.5,1.33,0.67,0.67,1.04,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA4900799,EL PORTAL MOBILE ESTATES,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,122,200,MOBILE HOME PARK              ,2.25,0.33,2,0.67,1.31,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA4900832,LEISURE MOBILE HOME PARK,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,183,410,MOBILE HOME PARK              ,0,0,0.33,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,N,N,N,0
CA4900843,SONOMA RANCH MUTUAL WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,54,151,RESIDENTIAL AREA              ,0.25,0.33,0.33,0,0.23,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA4900846,ROLLING OAKS ROAD ASSOCIATION,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,16,25,RESIDENTIAL AREA              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4900850,BODEGA WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,38,77,RESIDENTIAL AREA              ,2.58,1.33,1.33,0.17,1.35,--,At-Risk,Failing,Failing,3,Y,Y,N,0
CA4900871,MOON VALLEY WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,247,691,MOBILE HOME PARK              ,2,0,0.33,1,0.83,--,At-Risk,Non-Failing,At-Risk,2,N,N,N,0
CA4900892,SUMMIT VIEW RANCH MUTUAL WATER CO.,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,24,45,RESIDENTIAL AREA              ,0.25,1.33,1,0.33,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA4900893,WEST WATER COMPANY (PUC),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,13,40,RESIDENTIAL AREA              ,0.5,3.33,0.75,1,1.4,At-Risk,At-Risk,Failing,Failing,1,Y,Y,Y,0
CA4900901,SOBRE VISTA WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,26,80,RESIDENTIAL AREA              ,0.25,0,0,0,0.06,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA4900905,MARK WEST MEADOWS MUTUAL WATER,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,15,25,RESIDENTIAL AREA              ,0,0.33,0.92,0,0.31,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4900907,SUMMERFIELD WALDORF SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,13,301,SCHOOL                        ,1.5,1.33,0.33,0,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA4900913,ROBIN WAY WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,20,66,RESIDENTIAL AREA              ,3,1.5,0.67,1,1.54,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA4900943,ALLIANCE REDWOODS CONFERENCE GROUNDS,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,73,418,RESIDENTIAL AREA              ,0,0.5,0,1,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4900945,PRESENTATION SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,4,200,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4900973,GEORGE RANCH MUTUAL WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,54,148,RESIDENTIAL AREA              ,1.75,0.33,0,0,0.52,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4901062,KINNYBROOK MUTUAL WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,23,48,RESIDENTIAL AREA              ,0,0.33,0.92,0.17,0.36,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4901071,BOULEVARD HEIGHTS MUTUAL WATER,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,18,60,RESIDENTIAL AREA              ,0,0.33,0.33,0,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4901156,WILLOWSIDE SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,5,460,SCHOOL                        ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4901168,SALMON CREEK MIDDLE SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,13,300,SCHOOL                        ,3,3,0,0,1.5,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA4901190,LIETO WATER SYSTEM (REACH CHARTR SCHOOL),SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,2,134,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4901215,PLUMFIELD ACADEMY SCHOOL (OCCIDENTAL RD),SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,1,30,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4901221,GRATON MUTUAL (GREEN VALLEY HOA),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,16,50,RESIDENTIAL AREA              ,0.25,1.33,1.08,0.17,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA4901246,DOWNTOWN GRATON MUTUAL WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,28,110,OTHER TRANSIENT AREA          ,0.25,0,0,0,0.06,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA4901309,HILTON MUTUAL WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,16,100,OTHER AREA                    ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4901314,ODIYAN BUDDHIST RETREAT CENTER,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,8,35,OTHER AREA                    ,0,0.33,2,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA4901346,DELORES LANE WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,17,47,RESIDENTIAL AREA              ,0.38,0.33,0.67,1,0.6,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA4901355,TERRACE VIEW WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,16,60,OTHER AREA                    ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4901381,LICHAU HYLANDS MUTUAL WATER COMPANY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,20,56,RESIDENTIAL AREA              ,0,0.33,1.25,0.67,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4901436,SEBASTOPOL CHARTER SCHOOL,SONOMA,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,1,310,SCHOOL                        ,1,1.33,0,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4901445,JAMES COURT WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,40,208,SUBDIVISION                   ,0.75,0.33,0,1,0.52,--,Not At-Risk,Failing,Failing,2,Y,N,N,0
CA4910002,"CLOVERDALE, CITY OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,3265,10557,RESIDENTIAL AREA              ,0,0.33,0,0.33,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,7,Y,N,N,0
CA4910003,PENNGROVE WATER COMPANY (PUC),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,528,1742,RESIDENTIAL AREA              ,0,0,0,0.33,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA4910004,SWEETWATER SPRINGS CWD - GUERNEVILLE,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,2556,6000,RESIDENTIAL AREA              ,0.25,1.33,0.33,0.33,0.56,At-Risk,At-Risk,Non-Failing,At-Risk,3,Y,N,Y,0
CA4910005,"HEALDSBURG, CITY OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,4612,10914,MUNICIPALITY                  ,0,0,0.33,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,14,N/A,N,N,0
CA4910006,"PETALUMA, CITY OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,20511,60781,MUNICIPALITY                  ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,16,N/A,N,N,0
CA4910007,"SEA RANCH WATER COMPANY,THE (PUC)",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,1935,1160,RESIDENTIAL AREA              ,0,0.33,0.92,0,0.31,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA4910008,RUSSIAN RIVER COUNTY WATER DISTRICT,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,1256,4150,RESIDENTIAL AREA              ,0,0,1,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA4910010,SONOMA COUNTY CSA 41-FITCH MOUNTAIN,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,339,1265,RESIDENTIAL AREA              ,0,1,1.25,0.33,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,N,N,N,0
CA4910011,"SEBASTOPOL, CITY OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,2947,7522,RESIDENTIAL AREA              ,3.25,0.33,0,0.67,1.06,--,At-Risk,Non-Failing,At-Risk,4,Y,N,N,0
CA4910012,"SONOMA, CITY OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,4343,11725,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,9,N,N,N,0
CA4910013,VALLEY OF THE MOON WATER DISTRICT,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,7002,23107,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,18,N/A,N,N,0
CA4910014,"ROHNERT PARK, CITY OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,10414,43693,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,43,N/A,N,N,0
CA4910016,"COTATI, CITY OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,2698,7360,RESIDENTIAL AREA              ,0,0,0,0.67,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA4910017,"WINDSOR, TOWN OF",SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,9066,25985,RESIDENTIAL AREA              ,0,0,0,0.67,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,6,N,N,N,0
CA4910018,ARMSTRONG VALLEY-CAL WATER SERVICE (PUC),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,280,473,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4910019,FORESTVILLE WATER DISTRICT,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,997,3788,RESIDENTIAL AREA              ,0,0,0,0.67,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA4910021,BODEGA BAY PUBLIC UTILITY DISTRICT,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,1160,1069,RESIDENTIAL AREA              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,8,Y,N,N,0
CA4910022,CANON MANOR WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,245,805,RESIDENTIAL AREA              ,0.25,0.33,0,0.67,0.31,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4910023,CALIFORNIA-AMERICAN LARKFIELD (PUC),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,2334,7702,RESIDENTIAL AREA              ,0.25,0,0,0,0.06,--,Not At-Risk,Non-Failing,Not At-Risk,6,N,N,N,0
CA4910024,CALIFORNIA-AMERICAN GEYSERVILLE (PUC),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,307,1013,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4910025,KENWOOD VILLAGE WATER COMPANY (PUC),SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,309,1013,RESIDENTIAL AREA              ,1.75,0,0.33,0.33,0.6,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,4,N,N,N,0
CA4910026,ODD FELLOWS RECREATION CLUB,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,268,757,RESIDENTIAL AREA              ,0.25,0.33,0.33,0,0.23,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA4910027,SONOMA STATE UNIVERSITY,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,93,10986,SCHOOL                        ,0,0.33,0.33,1,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA4910028,SWEETWATER SPRINGS CWD - MONTE RIO,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,1065,3000,RESIDENTIAL AREA              ,0.25,0.33,1.42,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA4910029,CAMP MEEKER WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,356,1171,MUNICIPALITY                  ,0,1.5,0,0.33,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA4910701,U.S. COAST GUARD TRAINING CENTER,SONOMA,DISTRICT 18 - SONOMA,COMMUNITY,217,1001,INSTITUTION                   ,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA5000005,CROWS LANDING COMM SVC DISTRICT,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,138,500,RESIDENTIAL AREA              ,1,1,0.75,0.17,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,Y,N,N,0
CA5000008,KNIGHTS FERRY COMM. SVC. DIST.,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,67,168,RESIDENTIAL AREA              ,1.75,1.5,1,0.17,1.11,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA5000010,TID/ LA GRANGE WATER SYSTEM,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,61,195,RESIDENTIAL AREA              ,0.25,0.33,1,0.67,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA5000013,OID #45,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,51,144,RESIDENTIAL AREA              ,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA5000014,OID #46 - SUNSET OAKS,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,79,269,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA5000015,OID #22 - WILLIAMS TRACT,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,53,150,RESIDENTIAL AREA              ,0,1.5,0.33,0.67,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA5000017,PARK HEIGHTS MUTUAL WATER CO,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,95,250,RESIDENTIAL AREA              ,0.25,0.33,1.33,0,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA5000019,RIVERDALE PARK TRACT CSD,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,180,610,RESIDENTIAL AREA              ,4.5,1.5,0.67,0.83,1.88,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA5000020,RIVER ROAD MUTUAL WATER COMPANY,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,8,26,RESIDENTIAL AREA              ,0.5,2.33,1,0,0.96,--,At-Risk,Failing,Failing,1,Y,Y,N,0
CA5000033,COBLES CORNER,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,10,50,MOBILE HOME PARK              ,4,2,0,1,1.75,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA5000041,MAZE BLVD MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,13,36,MOBILE HOME PARK              ,0,1.33,0,0.25,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA5000048,LAZY B MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,49,125,MOBILE HOME PARK              ,4.13,0.33,0.67,1,1.53,--,At-Risk,Failing,Failing,2,Y,N,N,0
CA5000049,LONE PINE MHP,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,32,64,MOBILE HOME PARK              ,1.5,0.33,0.33,0.67,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA5000054,MORNINGSIDE MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,49,67,MOBILE HOME PARK              ,0,0.33,0,0.83,0.29,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA5000055,OLIVE LANE MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,51,153,MOBILE HOME PARK              ,2.5,0.33,0.67,0.67,1.04,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA5000058,FISHERMAN'S BEND MHP,STANISLAUS,LPA80 - STANISLAUS COUNTY,COMMUNITY,66,120,MOBILE HOME PARK              ,0,2,0,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
